BF;    11;20180112  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       15100;   0,06310;        
BF;   349;20180806  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       19000;   0,06310;        
BF;   295;20180705  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       16960;   0,06310;        
BF;   260;20180615  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       16420;   0,06310;        
BF;   151;20180330  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       14560;   0,06310;        
BF;   135;20180321  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       15000;   0,06310;        
BF;   190;20180504  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       18500;   0,06310;        
BF;  1550;20180321  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;KG;        1250;   0,32000;        
BF;   338;20180731  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       12080;   0,06337;        
BF;   531;20181204  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9800;   0,06337;        
BF;    46;20180131  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       11000;   0,06337;        
BF;   329;20180725  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9860;   0,06337;        
BF;   495;20181112  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9160;   0,06337;        
BF;   124;20180314  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9320;   0,06337;        
BF;   397;20180925  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        8440;   0,06337;        
BF;   201;20180508  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10700;   0,06337;        
BF;   544;20181213  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       13500;   0,06337;        
BF;   169;20180417  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9660;   0,06337;        
BF;   268;20180622  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10420;   0,06337;        
BF;     9;20180112  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9280;   0,06337;        
BF;   456;20181030  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       13800;   0,06337;        
BF;   386;20180913  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        8040;   0,06337;        
BF;    32;20180123  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9620;   0,06337;        
BF;   243;20180607  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15000;   0,06337;        
BF;   374;20180910  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10060;   0,06337;        
BF;    70;20180222  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10060;   0,06337;        
BF;    82;20180222  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10600;   0,06337;        
BF;   230;20180528  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10240;   0,06337;        
BF;   279;20180628  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10360;   0,06337;        
BF;   421;20181008  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10000;   0,06337;        
BF;   181;20180430  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10200;   0,06337;        
BF;   147;20180327  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9800;   0,06337;        
BF;   309;20180711  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        8560;   0,06337;        
BF;   302;20180706  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9320;   0,06337;        
BF;   444;20181019  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10460;   0,06337;        
BF;   109;20180306  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9420;   0,06337;        
BF;   213;20180515  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14100;   0,06337;        
BF;   507;20181122  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14300;   0,06337;        
BF;   134;20180320  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       11500;   0,06337;        
BF;   356;20180831  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10320;   0,06337;        
BF;   160;20180411  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;        9740;   0,06337;        
