BF; 22267;20180705  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         200;      22,8;        
BF; 38316;20181207  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         200;      22,8;        
BF; 33210;20181023  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         200;      22,8;        
BF;  9733;20180319  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         250;      22,8;        
BF; 14209;20180430  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         250;      22,8;        
BF;  4997;20180209  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         250;      22,8;        
BF; 25295;20180727  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         100;      22,8;        
BF;  3591;20181009  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;         500;      2,15;        
BF;   365;20180206  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;         500;      1,65;        
BF;  1721;20180509  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;         500;      2,15;        
BF;  4353;20181206  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;         500;      2,15;        
BF;   415;20181003  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       19000;    0,0631;        
BF;    11;20180112  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       15100;    0,0631;        
BF;   349;20180806  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       19000;    0,0631;        
BF;   295;20180705  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       16960;    0,0631;        
BF;   260;20180615  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       16420;    0,0631;        
BF;   151;20180330  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       14560;    0,0631;        
BF;   135;20180321  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       15000;    0,0631;        
BF;   190;20180504  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;       18500;    0,0631;        
BF;  1550;20180321  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;        1250;      0,32;        
BF;   338;20180731  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;       12080;   0,06337;        
BF;   531;20181204  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;        9800;   0,06337;        
