BF; 39489;20191218  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         199;  25,80000;        
BF; 22652;20190709  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         300;  25,80000;        
BF;  9044;20190314  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         100;  25,80000;        
BF;  7683;20190305  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         100;  25,80000;        
BF;  4709;20191210  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;   952;20190315  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  3210;20190916  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  2012;20190604  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  2397;20190514  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;KG;        1250;   0,30000;        
BF;   882;20190220  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0205   ;TALCO (grigio CM3)                                                      ;KG;        1250;   0,32000;        
BF;   323;20190730  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16680;   0,08500;        
BF;   339;20190807  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       13600;   0,08500;        
BF;   348;20190827  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       12760;   0,08500;        
BF;   168;20190411  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14860;   0,08500;        
BF;   146;20190329  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15260;   0,08500;        
BF;   369;20190909  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16400;   0,08500;        
BF;   290;20190705  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16100;   0,08500;        
BF;   384;20190917  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16720;   0,08500;        
BF;   194;20190430  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15160;   0,08500;        
BF;   269;20190627  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15200;   0,08500;        
BF;   403;20190930  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10160;   0,08500;        
BF;   250;20190613  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15760;   0,08500;        
BF;   119;20190313  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14700;   0,08500;        
BF;    10;20190109  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10140;   0,08500;        
BF;   497;20191127  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16000;   0,08500;        
BF;   430;20191009  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15580;   0,08500;        
BF;   233;20190604  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15160;   0,08500;        
BF;    29;20190128  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10260;   0,08500;        
BF;   217;20190521  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16560;   0,08500;        
BF;    38;20190128  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10600;   0,08500;        
BF;   454;20191031  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       16560;   0,08500;        
BF;    91;20190228  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       17940;   0,08500;        
BF;   527;20191210  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       13880;   0,08500;        
BF;    75;20190214  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       15020;   0,08500;        
BF;   480;20191111  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14240;   0,08500;        
BF;    60;20190208  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       10900;   0,08500;        
